City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,gobabis,-22.45,18.9667,20.12,22,0,5.54,NA,1728610450
214,vilyuchinsk,52.9306,158.4028,8.15,52,98,2.44,RU,1728610451
215,breckenridge,32.7557,-98.9023,27.11,41,0,2.57,US,1728610452
216,tawau,4.2498,117.8871,31.07,77,68,1.1,MY,1728610453
217,puerto deseado,-47.7503,-65.8938,11.08,40,33,8.01,AR,1728610454
218,macia,-25.0269,33.0989,17.22,79,0,1.93,MZ,1728610455
219,callao,-12.0667,-77.15,18.73,88,100,5.14,PE,1728610457
220,lamu,-2.2717,40.902,24.7,84,22,6.59,KE,1728610458
221,changsu,35.6484,127.5152,19.28,61,0,1.27,KR,1728610459
222,villa gesell,-37.2639,-56.973,13.62,96,64,4.45,AR,1728610460
223,kodiak,57.79,-152.4072,7.73,71,100,4.12,US,1728610462
224,patong,7.8961,98.2966,29.08,77,100,1.54,TH,1728610464
225,nuku'alofa,-21.1333,-175.2,26.19,94,75,6.69,TO,1728610465
226,utrik,11.2278,169.8474,27.25,78,100,4.22,MH,1728610466
227,nchelenge,-9.3451,28.734,22.52,66,98,2.13,ZM,1728610467
228,broome,42.2506,-75.833,5.82,88,0,3.6,US,1728610468
229,mount isa,-20.7333,139.5,34.87,10,0,5.66,AU,1728610469
230,horta,38.5333,-28.6333,17.79,87,100,4.02,PT,1728610470
231,tsiombe,-25.3,45.4833,20.08,74,1,2.95,MG,1728610471
232,fort st. john,56.2499,-120.8529,7.94,49,75,5.66,CA,1728610291
233,nuriootpa,-34.4833,139.0,19.7,33,97,4.32,AU,1728610474
234,labytnangi,66.6572,66.4183,-8.28,89,7,1.48,RU,1728610475
235,dingcheng,32.1272,115.0394,23.33,49,20,0.87,CN,1728610476
236,salaqi,40.5414,110.5108,14.09,40,0,2.96,CN,1728610477
237,petauke,-14.2426,31.3253,18.18,56,19,3.28,ZM,1728610478
238,vilhena,-12.7406,-60.1458,22.61,80,100,0.67,BR,1728610479
239,kotma,23.2,81.9667,23.87,64,47,0.43,IN,1728610480
240,nantucket,41.2835,-70.0995,13.06,50,0,9.79,US,1728610481
241,qarqaraly,49.4058,75.4742,9.99,52,92,2.74,KZ,1728610483
